DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/15/2025,9,1,LZ_HOUSTON,LZ,40.16,N,2025-04-15 08:00:00,68.0,7.0,40.0
04/15/2025,9,1,LZ_NORTH,LZ,40.43,N,2025-04-15 08:00:00,59.5,6.6,55.0
04/18/2025,6,4,LZ_AEN,LZ,18.0,N,2025-04-18 05:00:00,69.1,8.5,0.0
04/18/2025,6,4,LZ_HOUSTON,LZ,17.52,N,2025-04-18 05:00:00,71.9,17.1,0.0
04/18/2025,6,4,LZ_NORTH,LZ,15.05,N,2025-04-18 05:00:00,69.3,14.8,0.0
04/13/2025,11,2,LZ_AEN,LZ,-14.17,N,2025-04-13 10:00:00,71.3,10.1,497.0
04/13/2025,11,2,LZ_HOUSTON,LZ,8.53,N,2025-04-13 10:00:00,72.2,16.7,358.0
04/13/2025,11,2,LZ_NORTH,LZ,-4.25,N,2025-04-13 10:00:00,73.3,16.7,820.0
04/13/2025,2,2,LZ_AEN,LZ,15.87,N,2025-04-13 01:00:00,67.5,9.4,0.0
04/13/2025,2,2,LZ_HOUSTON,LZ,17.68,N,2025-04-13 01:00:00,67.9,10.6,0.0
04/13/2025,2,2,LZ_NORTH,LZ,16.73,N,2025-04-13 01:00:00,68.6,11.5,0.0
04/12/2025,20,4,LZ_AEN,LZ,25.82,N,2025-04-12 19:00:00,84.8,12.0,90.0
04/12/2025,20,4,LZ_HOUSTON,LZ,30.23,N,2025-04-12 19:00:00,77.2,12.6,18.0
04/12/2025,20,4,LZ_NORTH,LZ,26.26,N,2025-04-12 19:00:00,80.1,14.4,38.0
04/12/2025,10,2,LZ_AEN,LZ,-1.88,N,2025-04-12 09:00:00,66.6,2.4,279.0
04/12/2025,10,2,LZ_HOUSTON,LZ,-1.83,N,2025-04-12 09:00:00,69.9,10.9,47.0
04/12/2025,10,2,LZ_NORTH,LZ,-2.82,N,2025-04-12 09:00:00,63.1,8.9,193.0
04/14/2025,9,1,LZ_AEN,LZ,23.33,N,2025-04-14 08:00:00,66.0,8.7,68.0
04/14/2025,9,1,LZ_HOUSTON,LZ,20.17,N,2025-04-14 08:00:00,69.9,12.1,61.0
04/14/2025,9,1,LZ_NORTH,LZ,15.96,N,2025-04-14 08:00:00,64.1,10.9,94.0
04/13/2025,13,4,LZ_AEN,LZ,-0.43,N,2025-04-13 12:00:00,83.7,13.0,797.0
04/13/2025,13,4,LZ_HOUSTON,LZ,20.05,N,2025-04-13 12:00:00,77.8,16.1,842.0
04/13/2025,13,4,LZ_NORTH,LZ,3.98,N,2025-04-13 12:00:00,80.4,19.4,1187.0
04/15/2025,1,1,LZ_AEN,LZ,22.36,N,2025-04-15 00:00:00,71.5,10.4,0.0
04/15/2025,1,1,LZ_HOUSTON,LZ,22.45,N,2025-04-15 00:00:00,69.7,5.8,0.0
04/15/2025,1,1,LZ_NORTH,LZ,22.77,N,2025-04-15 00:00:00,71.4,13.0,0.0
04/18/2025,6,2,LZ_AEN,LZ,16.08,N,2025-04-18 05:00:00,69.1,8.5,0.0
04/18/2025,6,2,LZ_HOUSTON,LZ,17.04,N,2025-04-18 05:00:00,71.9,17.1,0.0
04/18/2025,6,2,LZ_NORTH,LZ,14.13,N,2025-04-18 05:00:00,69.3,14.8,0.0
04/17/2025,15,3,LZ_AEN,LZ,18.35,N,2025-04-17 14:00:00,84.3,12.0,828.0
04/17/2025,15,3,LZ_HOUSTON,LZ,25.25,N,2025-04-17 14:00:00,80.9,23.2,828.0
04/17/2025,15,3,LZ_NORTH,LZ,17.2,N,2025-04-17 14:00:00,80.3,19.4,1153.0
04/17/2025,6,3,LZ_AEN,LZ,27.56,N,2025-04-17 05:00:00,68.0,10.8,0.0
04/17/2025,6,3,LZ_HOUSTON,LZ,32.15,N,2025-04-17 05:00:00,68.1,13.0,0.0
04/17/2025,6,3,LZ_NORTH,LZ,35.53,N,2025-04-17 05:00:00,66.5,12.2,0.0
04/15/2025,12,1,LZ_AEN,LZ,25.62,N,2025-04-15 11:00:00,71.9,17.3,383.0
04/15/2025,12,1,LZ_HOUSTON,LZ,22.04,N,2025-04-15 11:00:00,73.6,9.1,66.0
04/15/2025,12,1,LZ_NORTH,LZ,10.25,N,2025-04-15 11:00:00,66.9,10.8,1065.0
04/14/2025,20,1,LZ_AEN,LZ,174.0,N,2025-04-14 19:00:00,88.1,7.9,54.0
04/14/2025,20,1,LZ_HOUSTON,LZ,74.59,N,2025-04-14 19:00:00,79.1,10.3,14.0
04/14/2025,20,1,LZ_NORTH,LZ,66.78,N,2025-04-14 19:00:00,82.5,10.5,36.0
04/13/2025,2,4,LZ_AEN,LZ,15.31,N,2025-04-13 01:00:00,67.5,9.4,0.0
04/13/2025,2,4,LZ_HOUSTON,LZ,16.98,N,2025-04-13 01:00:00,67.9,10.6,0.0
