DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp
04/12/2025,17,2,LZ_NORTH,LZEW,-1.22,N,2025-04-12 16:00:00
04/12/2025,17,2,LZ_NORTH,LZ,-1.22,N,2025-04-12 16:00:00
04/12/2025,8,2,LZ_AEN,LZEW,16.39,N,2025-04-12 07:00:00
04/12/2025,8,2,LZ_AEN,LZ,16.39,N,2025-04-12 07:00:00
04/12/2025,8,2,LZ_HOUSTON,LZEW,17.44,N,2025-04-12 07:00:00
04/12/2025,8,2,LZ_HOUSTON,LZ,17.44,N,2025-04-12 07:00:00
04/12/2025,8,2,LZ_NORTH,LZ,16.5,N,2025-04-12 07:00:00
04/12/2025,8,2,LZ_NORTH,LZEW,16.49,N,2025-04-12 07:00:00
04/17/2025,22,3,LZ_AEN,LZEW,23.2,N,2025-04-17 21:00:00
04/17/2025,22,3,LZ_AEN,LZ,23.19,N,2025-04-17 21:00:00
04/17/2025,22,3,LZ_HOUSTON,LZEW,25.66,N,2025-04-17 21:00:00
04/17/2025,22,3,LZ_HOUSTON,LZ,25.66,N,2025-04-17 21:00:00
04/17/2025,22,3,LZ_NORTH,LZ,31.23,N,2025-04-17 21:00:00
04/17/2025,22,3,LZ_NORTH,LZEW,31.24,N,2025-04-17 21:00:00
04/13/2025,15,2,LZ_AEN,LZEW,0.64,N,2025-04-13 14:00:00
04/13/2025,15,2,LZ_AEN,LZ,0.64,N,2025-04-13 14:00:00
04/13/2025,15,2,LZ_HOUSTON,LZEW,31.68,N,2025-04-13 14:00:00
04/13/2025,15,2,LZ_HOUSTON,LZ,31.71,N,2025-04-13 14:00:00
04/13/2025,15,2,LZ_NORTH,LZ,13.74,N,2025-04-13 14:00:00
04/13/2025,15,2,LZ_NORTH,LZEW,13.73,N,2025-04-13 14:00:00
04/17/2025,4,3,LZ_AEN,LZEW,18.15,N,2025-04-17 03:00:00
04/17/2025,4,3,LZ_AEN,LZ,18.15,N,2025-04-17 03:00:00
04/17/2025,4,3,LZ_HOUSTON,LZEW,20.99,N,2025-04-17 03:00:00
04/17/2025,4,3,LZ_HOUSTON,LZ,20.99,N,2025-04-17 03:00:00
04/17/2025,4,3,LZ_NORTH,LZ,21.36,N,2025-04-17 03:00:00
04/17/2025,4,3,LZ_NORTH,LZEW,21.36,N,2025-04-17 03:00:00
04/13/2025,4,4,LZ_AEN,LZEW,11.7,N,2025-04-13 03:00:00
04/13/2025,4,4,LZ_AEN,LZ,11.7,N,2025-04-13 03:00:00
04/13/2025,4,4,LZ_HOUSTON,LZEW,13.88,N,2025-04-13 03:00:00
04/13/2025,4,4,LZ_HOUSTON,LZ,13.88,N,2025-04-13 03:00:00
04/13/2025,4,4,LZ_NORTH,LZ,14.08,N,2025-04-13 03:00:00
04/13/2025,4,4,LZ_NORTH,LZEW,14.08,N,2025-04-13 03:00:00
04/12/2025,4,3,LZ_AEN,LZEW,15.53,N,2025-04-12 03:00:00
04/12/2025,4,3,LZ_AEN,LZ,15.53,N,2025-04-12 03:00:00
04/12/2025,4,3,LZ_HOUSTON,LZEW,16.8,N,2025-04-12 03:00:00
04/12/2025,4,3,LZ_HOUSTON,LZ,16.8,N,2025-04-12 03:00:00
